2458878.28333 1.5
2458877.67569 1.7
2458877.64975 1.4
2458877.6395 1.6
2458877.58403 1.6
2458877.55139 1.5
2458877.54167 1.4
2458877.5 1.5
2458877.495 1.6
2458877.47439 1.7
2458877.39514 1.5
2458877.36458 1.6
2458877.3125 1.6
2458877.29167 1.6
2458877.26667 1.64
2458877.25972 1.5
2458877.06181 1.5
2458877.03819 1.6
2458876.97485 1.4
2458876.68264 1.7
2458876.66875 1.7
2458876.58333 1.6
2458876.55625 1.5
2458876.52083 1.5
2458876.43228 1.5
2458876.43056 1.5
2458876.36458 1.5
2458876.2563 1.65
2458875.9604 1.6
2458875.63194 1.4
2458875.59028 1.6
2458875.55556 1.4
2458875.54931 1.6
2458875.54306 1.4
2458875.49139 1.3
2458875.47 1.6
2458875.46528 1.27
2458875.45833 1.5
2458875.44444 1.64
2458875.4028 4.43
2458875.40069 1.39
2458875.37014 1.5
2458875.35417 1.5
2458875.30556 1.4
2458875.25694 1.65
2458874.90069 1.8
2458874.89583 1.6
2458874.61806 1.7
2458874.61111 1.6
2458874.58056 1.4
2458874.554 1.4
2458874.55208 1.27
2458874.521 1.6
2458874.51042 1.6
2458874.50385 1.5
2458874.5 1.5
2458874.49306 1.5
2458874.46875 1.27
2458874.4375 1.3
2458874.4375 1.5
2458874.3 1.6
2458874.2438 1.6
2458874.243 1.5
2458874.19306 1.9
2458874.18194 1.58
2458873.99722 1.7
2458873.99444 1.6
2458873.9604 1.6
2458873.69722 1.75
2458873.64583 1.8
2458873.61528 1.7
2458873.58333 1.5
2458873.57847 1.6
2458873.49583 1.2
2458873.4875 1.6
2458873.45833 1.5
2458873.45833 1.6
2458873.4375 1.5
2458873.425 1.5
2458873.41667 1.5
2458873.39583 1.5
2458873.32639 1.46
2458873.2868 1.6
2458873.22917 1.4
2458873.01697 1.4
2458872.66667 1.7
2458872.63194 1.6
2458872.62847 1.4
2458872.60417 1.4
2458872.6021 1.5
2458872.58958 1.6
2458872.52431 1.5
2458872.45833 1.2
2458872.45139 1.5
2458872.41667 1.5
2458872.35417 1.52
2458872.35417 1.5
2458872.34444 1.4
2458872.333 1.64
2458872.32639 1.45
2458872.30208 1.21
2458872.28472 1.3
2458872.27778 1.4
2458872.25 1.6
2458872.24792 1.45
2458872.23611 1.55
2458872.21181 1.4
2458872.20139 1.44
2458872.0285 1.5
2458871.95139 1.5
2458871.625 1.5
2458871.61458 1.7
2458871.58542 1.7
2458871.57847 1.5
2458871.54167 1.6
2458871.54 1.6
2458871.53245 1.5
2458871.49653 1.2
2458871.481 1.5
2458871.46319 1.4
2458871.46181 1.5
2458871.44792 1.55
2458871.4 1.5
2458871.375 1.4
2458871.3521 1.5
2458871.3 1.4
2458871.29167 1.5
2458871.2868 1.5
2458871.26736 1.4
2458871.23611 1.43
2458871.1903 1.5
2458871.0 1.4
2458870.65 1.7
2458870.6493 1.6
2458870.64861 1.6
2458870.64623 1.5
2458870.62431 1.5
2458870.6 1.3
2458870.56597 1.6
2458870.55556 1.5
2458870.54167 1.7
2458870.53472 1.4
2458870.51736 1.6
2458870.50417 1.75
2458870.45486 1.5
2458870.45278 1.5
2458870.43056 1.1
2458870.42014 1.5
2458870.41667 1.5
2458870.38472 1.5
2458870.32222 1.48
2458870.31597 1.47
2458870.3125 1.5
2458870.28125 1.4
2458870.27083 1.4
2458870.2389 1.55
2458870.212 1.5
2458870.20833 1.45
2458869.9528 1.5
2458869.95139 1.5
2458869.69722 1.4
2458869.65278 1.4
2458869.65 1.5
2458869.63889 1.5
2458869.6272 1.4
2458869.59514 1.6
2458869.58333 1.35
2458869.58333 1.4
2458869.58333 1.5
2458869.55903 1.6
2458869.54167 1.6
2458869.5365 1.56
2458869.50847 1.4
2458869.50139 1.4
2458869.49306 1.5
2458869.48056 1.6
2458869.47917 1.6
2458869.43056 1.5
2458869.42708 1.4
2458869.41667 1.46
2458869.41667 1.5
2458869.379 1.6
2458869.3625 1.46
2458869.35208 1.7
2458869.32986 1.4
2458869.30556 1.45
2458869.3 1.4
2458869.29861 1.4
2458869.27083 1.4
2458869.23889 1.4
2458869.213 1.5
2458868.99236 1.5
2458868.63333 1.5
2458868.62778 1.7
2458868.62778 1.7
